,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
72,22021,1610612759,SAS,San Antonio Spurs,0022100260,2021-11-22,SAS vs. PHX,L,239,111,49,93,0.527,5,20,0.25,8,16,0.5,11,33,44,23,9,4,15,16,-4.0
73,22021,1610612759,SAS,San Antonio Spurs,0022100227,2021-11-18,SAS @ MIN,L,238,90,35,84,0.417,6,32,0.188,14,19,0.737,11,31,42,26,7,6,12,12,-25.0
74,22021,1610612759,SAS,San Antonio Spurs,0022100212,2021-11-16,SAS @ LAC,L,240,92,41,95,0.432,5,22,0.227,5,7,0.714,6,35,41,26,10,4,16,17,-14.0
75,22021,1610612759,SAS,San Antonio Spurs,0022100192,2021-11-14,SAS @ LAL,L,240,106,40,90,0.444,16,36,0.444,10,15,0.667,11,32,43,28,9,2,15,17,-8.0
76,22021,1610612759,SAS,San Antonio Spurs,0022100181,2021-11-12,SAS vs. DAL,L,239,109,41,84,0.488,13,30,0.433,14,20,0.7,3,38,41,30,3,3,13,17,-14.0
77,22021,1610612759,SAS,San Antonio Spurs,0022100166,2021-11-10,SAS vs. SAC,W,240,136,49,92,0.533,18,32,0.563,20,31,0.645,12,31,43,34,11,3,8,16,19.0
78,22021,1610612759,SAS,San Antonio Spurs,0022100144,2021-11-07,SAS @ OKC,L,240,94,41,100,0.41,6,30,0.2,6,9,0.667,11,35,46,29,9,10,9,16,-5.0
79,22021,1610612759,SAS,San Antonio Spurs,0022100125,2021-11-05,SAS @ ORL,W,241,102,40,90,0.444,6,19,0.316,16,18,0.889,5,43,48,23,11,7,13,14,13.0
80,22021,1610612759,SAS,San Antonio Spurs,0022100116,2021-11-03,SAS vs. DAL,L,240,108,43,88,0.489,7,21,0.333,15,20,0.75,5,35,40,25,10,10,15,24,-1.0
81,22021,1610612759,SAS,San Antonio Spurs,0022100095,2021-11-01,SAS @ IND,L,239,118,47,89,0.528,14,28,0.5,10,14,0.714,8,28,36,34,6,4,16,9,-13.0
82,22021,1610612759,SAS,San Antonio Spurs,0022100085,2021-10-30,SAS @ MIL,W,240,102,39,95,0.411,7,31,0.226,17,24,0.708,8,41,49,28,12,3,9,13,9.0
83,22021,1610612759,SAS,San Antonio Spurs,0022100069,2021-10-28,SAS @ DAL,L,240,99,39,88,0.443,12,30,0.4,9,15,0.6,11,37,48,21,6,11,14,16,-5.0
84,22021,1610612759,SAS,San Antonio Spurs,0022100053,2021-10-26,SAS vs. LAL,L,263,121,48,108,0.444,13,36,0.361,12,22,0.545,16,43,59,33,10,6,15,22,-4.0
85,22021,1610612759,SAS,San Antonio Spurs,0022100032,2021-10-23,SAS vs. MIL,L,240,111,48,99,0.485,10,39,0.256,5,6,0.833,10,28,38,29,10,4,12,18,-10.0
86,22021,1610612759,SAS,San Antonio Spurs,0022100024,2021-10-22,SAS @ DEN,L,239,96,40,84,0.476,6,24,0.25,10,14,0.714,7,32,39,24,11,2,20,17,-6.0
87,22021,1610612759,SAS,San Antonio Spurs,0022100010,2021-10-20,SAS vs. ORL,W,239,123,49,98,0.5,13,30,0.433,12,18,0.667,13,30,43,32,8,3,8,22,26.0
88,12021,1610612759,SAS,San Antonio Spurs,0012100065,2021-10-15,SAS vs. HOU,W,239,126,45,96,0.469,15,39,0.385,21,29,0.724,7,46,53,30,7,8,8,24,28.0
89,12021,1610612759,SAS,San Antonio Spurs,0012100035,2021-10-10,SAS @ ORL,W,241,101,42,93,0.452,12,35,0.343,5,8,0.625,11,31,42,26,11,3,18,19,1.0
90,12021,1610612759,SAS,San Antonio Spurs,0012100029,2021-10-08,SAS vs. MIA,L,242,105,40,88,0.455,12,36,0.333,13,19,0.684,9,30,39,28,8,3,15,19,-4.0
91,12021,1610612759,SAS,San Antonio Spurs,0012100015,2021-10-06,SAS @ DET,L,240,105,44,105,0.419,12,35,0.343,5,8,0.625,21,36,57,22,3,3,17,16,-10.0
92,12021,1610612759,SAS,San Antonio Spurs,0012100007,2021-10-04,SAS vs. UTA,W,239,111,40,86,0.465,12,34,0.353,19,25,0.76,9,51,60,22,3,6,18,21,26.0
93,22021,1610612759,SAS,San Antonio Spurs,1522100063,2021-08-16,SAS @ OKC,L,200,91,32,82,0.39,10,32,0.313,17,22,0.773,9,30,39,20,5,2,10,20,-25.0
