,id,full_name,first_name,last_name,is_active
4529,433,Buck Williams,Buck,Williams,False
4530,203710,C.J. Williams,C.J.,Williams,False
4531,78547,Chuck Williams,Chuck,Williams,False
4532,78541,Chuckie Williams,Chuckie,Williams,False
4533,78543,Cliff Williams,Cliff,Williams,False
4534,101258,Corey Williams,Corey,Williams,False
4535,101114,Deron Williams,Deron,Williams,False
4536,202682,Derrick Williams,Derrick,Williams,False
4537,78545,Don Williams,Don,Williams,False
4538,78546,Earl Williams,Earl,Williams,False
4539,202343,Elliot Williams,Elliot,Williams,False
4540,677,Eric Williams,Eric,Williams,False
4541,2421,Frank Williams,Frank,Williams,False
4542,78548,Freeman Williams,Freeman,Williams,False
4543,1629684,Grant Williams,Grant,Williams,True
4544,78549,Gus Williams,Gus,Williams,False
4545,78550,Guy Williams,Guy,Williams,False
4546,1006,Herb Williams,Herb,Williams,False
4547,73,Hot Rod Williams,Hot Rod,Williams,False
4548,1715,Jason Williams,Jason,Williams,False
4549,101214,Jawad Williams,Jawad,Williams,False
4550,2398,Jay Williams,Jay,Williams,False
4551,420,Jayson Williams,Jayson,Williams,False
4552,966,Jerome Williams,Jerome,Williams,False
4553,78554,John Williams,John,Williams,False
4554,1629140,Johnathan Williams,Johnathan,Williams,False
4555,202716,Jordan Williams,Jordan,Williams,False
4556,200818,Justin Williams,Justin,Williams,False
4557,78555,Kenny Williams,Kenny,Williams,False
4558,1629026,Kenrich Williams,Kenrich,Williams,True
4559,78556,Kevin Williams,Kevin,Williams,False
4560,31,Lorenzo Williams,Lorenzo,Williams,False
4561,101150,Lou Williams,Lou,Williams,True
4562,200766,Marcus Williams,Marcus,Williams,False
4563,201173,Marcus Williams,Marcus,Williams,False
4564,101107,Marvin Williams,Marvin,Williams,False
4565,52,Micheal Williams,Micheal,Williams,False
4566,78558,Mike Williams,Mike,Williams,False
4567,78560,Milt Williams,Milt,Williams,False
4568,2590,Mo Williams,Mo,Williams,False
4569,42,Monty Williams,Monty,Williams,False
4570,78561,Nate Williams,Nate,Williams,False
4571,1630172,Patrick Williams,Patrick,Williams,True
4572,78566,Pete Williams,Pete,Williams,False
4573,78571,Ray Williams,Ray,Williams,False
4574,199,Reggie Williams,Reggie,Williams,False
4575,202130,Reggie Williams,Reggie,Williams,False
4576,78563,Rickey Williams,Rickey,Williams,False
4577,78565,Rob Williams,Rob,Williams,False
4578,78567,Ron Williams,Ron,Williams,False
4579,78568,Sam Williams,Sam,Williams,False
4580,78569,Samuel Williams,Samuel,Williams,False
4581,281,Scott Williams,Scott,Williams,False
4582,201157,Sean Williams,Sean,Williams,False
4583,1742,Shammond Williams,Shammond,Williams,False
